Título,Compañía,Ubicación,Descripción
Analista de Fidelización y Contenido Digital,BICE VIDA,Santiago,"En BICE VIDA somos líderes en el rubro de las aseguradoras y queremos satisfacer las necesidades de seguridad, prosperidad y protección de nuestros clientes. Estamos apostando por la transformación digital, buscando nuevas formas de realizar el negocio, para mantenernos vigente y responder a los constantes cambios que el entorno nos exige.¡Únete a un equipo apasionado y altamente motivado por brindar soluciones innovadoras a sus clientes!“Esta oferta se enmarca en la ley 21.015 que incentiva la inclusión laboral de personas en situación de discapacidad. Aquellos interesados, contarán con el apoyo de la Compañía para realizar un proceso inclusivo y en igualdad de condiciones. BICE Vida se compromete a resguardar la información que postulantes en situación de discapacidad proporcionen de manera voluntaria”.

🚀En BICE VIDA estamos buscamos a un/a Analista de Fidelización y Contenido Digitalpara que se una a nuestro equipo de Fidelización, de la Subgerencia de Marketing y Servicio al Cliente. Su objetivo será gestionar presencia en línea del sitio de los programas de Fidelización de BICE VIDA asegurando una comunicación efectiva y positiva con la comunidad de adultos mayores, fomentando la participación, generando contenido relevante y manteniendo una imagen positiva de la marca. 🐈‍⬛👉En el rol, tendrás la oportunidad de:1. Gestión de plataforma: Crear y compartir contenido relevante, informativo y atractivo para la audiencia de adultos mayores, colaborando con el equipo para desarrollar materiales educativos, noticias y eventos relevantes para la comunidad. Responder a comentarios, mensajes y preguntas de la comunidad de manera oportuna y profesional. Desarrollar nuevas alianzas y convenios en pro de nuestros clientes. Fomentar la participación de la comunidad a través de encuestas, foros y otras formas de interacción. 2. Campañas y Promociones: Diseñar y ejecutar campañas promocionales en línea para aumentar la participación y la conciencia del sitio. Colaborar con el equipo para desarrollar estrategias de marketing específicas para los clientes. 3. Monitoreo y Análisis: Utilizar herramientas de análisis para evaluar el rendimiento de las actividades en línea y ajustar las estrategias según sea necesario. Mantenerse al tanto de las tendencias y las mejores prácticas en la gestión de comunidades en línea

Formación de Ing. en Marketing, Ing. Comercial o carrera afín. Nivel de Excel Intermedio. Deseable 1 año de experiencia previa en roles similares. Persona creativa, empática, con buenas habilidades sociales y de redacción. 🤩

Contamos con la mejor cobertura de la industria y te brindamos un seguro complementario de salud, dental y vida, y además un seguro catastrófico (Para ti y tus cargas legales). Bonos en UF dependiendo de la estación del año y del tiempo que lleves en nuestra Compañía. ​ Salida anticipada los días viernes, hasta las 16:00 hrs, lo que te permitirá balancear tu vida personal y laboral.​ Dress code casual, porque privilegiamos la comodidad.​ Almuerzo gratis en la oficina (con viernes de barra no-fit) 🍔 Contamos con capacitaciones constantes, para impulsar y empoderar equipos diversos con foco en buscar mejores resultados y becas para estudios de pregrado y diplomados.​ Contamos con gimnasio en casa matriz y talleres extraprogramáticos.​ Nuestra Casa Matriz se encuentran en el corazón de Providencia a pasos del metro de Pedro de Valdivia. ​ Puedes venir en bicicleta 🚴🏻 la cuidamos por ti, tenemos bicicleteros en casa matriz. Todo lo legal y mucho más. Pregunta por lo que te interesa 🤓"
Especialista en Plataformas Digitales,TCIT,Santiago,"Una de nuestras misiones en TCIT es descubrir y potenciar a los mejores talentos, por lo que te invitamos a ser parte de nuestro team!Nuestro propósito es transformar digitalmente a distintas organizaciones a través de soluciones de calidad, sostenibles e innovadoras. Trabajamos con metodologías ágiles, utilizamos tecnologías de última generación y somos expertos en desarrollo de software en tecnologías Cloud.Algunos de nuestros desarrollos son un sistema de gestión agrícola, un sistema de remates en línea, un sistema de gestión de las causas para los tribunales judiciales, un sistema para monitoreo de certificaciones para trabajadores mineros, un sistema de liquidaciones de sueldo y otras soluciones de gestión de empresas en ámbitos como transporte de carga y bodegaje, entre muchos otros.Además, trabajamos en países como Canadá en ambiciosos proyectos con nuestros partners tecnológicos.¡Súmate a la revolución digital TCIT!

Gestionar y supervisar los sitios web de clientes internos y externos de TCIT, asegurando su funcionamiento, mantenimiento y realizando mejoras continuas Realizar ajustes y actualizaciones en la arquitectura de los sitios web Implementar y mantener medidas de seguridad robustas para proteger los sitios web contra amenazas y vulnerabilidades, respondiendo a incidentes de seguridad Trabajar activamente con otros departamentos como ventas, TI y atención al cliente, para recopilar y documentar los requisitos de los sitios web Crear y gestionar plataformas web utilizando Sistemas de Gestión de Contenidos (CMS) para facilitar la administración del contenido y mejorar la eficiencia. Proporcionar soporte técnico y resolver problemas relacionados con las plataformas, incluyendo fallas técnicas y consultas de usuarios. Implementar y mantener integraciones de pago seguras y eficientes para plataformas de comercio electrónico. Diseñar, actualizar y mejorar continuamente los sitios web y productos digitales de la empresa. Supervisar y dirigir la creación de mockups realizados por el Diseñador Web para asegurar la coherencia visual y funcional. Diseñar gráficas para publicaciones, administrar RRSS, y gestionar la recopilación y creación de contenido, utilizando herramientas para la programación y promoción de publicaciones Crear y gestionar mailings con información de productos, novedades de desarrollo y otros contenidos comerciales Diseñar presentaciones, documentos y otros recursos digitales internos y comerciales siguiendo los lineamientos gráficos de la empresa Desarrollar y mejorar la imagen de marca Elaborar manuales de capacitación para enseñar a los clientes Implementar y gestionar servidores en Amazon Lightsail para mejorar la eficiencia operativa, garantizar la disponibilidad y seguridad, y escalar mediante la integración con otros servicios de AWS Mantenerse actualizado sobre las últimas tendencias de tecnologías en el ámbito digital

Título universitario de Técnico en informática y/o programación. Analista de sistemas. Diseño gráfico. Ingeniero en informática, o afín. Desde 1 año de experiencia en cargos similares Dominio de HTML,CSS,JS. (excluyente) Dominio y manejo de CMS (Wordpress, Shopify, Magento)(excluyente) Administración de sitios web en la nube (AWS). (deseable) Manejo de la plataforma Adobe Suite (Photoshop, Illustrator).(deseable) Manejo de herramientas de prototipado web (Adobe XD, Figma).(deseable) Conocimiento de Facebook Business Management y RRSS (Facebook, Instagram, LinkedIn).(deseable) Conocimientos sobre creación de archivos para impresión. (deseable)

Te encanta el trabajo en equipo! Te encanta transmitir ideas y guiar a otros! Te gusta ir un paso adelante, anticipando necesidades y tomando la iniciativa!

Nuestro horario promedio hace que puedas salir a las 14:00 los días viernes (sí, a las 14:00!!!!) Nuestras oficinas quedan a pasos del metro Porque sabemos que guatita llena <3 contento, cuando vayas a trabajar a la oficina contamos con almuerzo en una cafetería cercana (¡y esto va por cuenta de TCIT, aparte del bono de almuerzo :O!) Tendrás permisos flexibles Más días de vacaciones Vestimenta casual Estamos afiliados a Caja de Compensación Los Andes, por lo que puedes acceder a sus cientos de beneficios y convenios Estamos afiliados a la ACHS, por lo que tendrás acceso a capacitaciones, beneficios y convenios Somos Google Partners, lo que significa que puedes certificarte de manera gratuita! Tendrás 1 hora 30 minutos para almorzar! Tenemos estacionamiento para bicicletas ¡Nos encantan los asados y usamos cualquier excusa para juntarnos y compartir! El día de tu cumpleaños puedes salir a las 16:00 para celebrar como se debe ¡Te esperamos!"
Asistente Marketing (Reemplazo Pre y Post Natal),BSALE,Santiago,"¡SÉ UN BSALER!¿Quienes somos?Bsale es un software de venta que ayuda a las Pymes a vender, soñamos con Simplificar la forma de trabajar que tienen las personas, en diferentes países de Latinoamérica.En la actualidad hemos acompañado a más de 10.000 pequeñas y medianas empresas en su camino de crecimiento, e impactamos a más de 110.000 usuarios en los países de Chile, Perú y México. ¿Te gustaría ser parte de una empresa del mundo de la tecnología, que se está desarrollando a nivel latinoaméricano, y que busca marcar la diferencia haciendo que el trabajo de las pymes sea más simple? Pues esta podría ser tu oportunidad, ya que en Bsale buscamos a nuestro/a próximo/a Asistente de Marketing.

Gestión de campañas de marketing, colaborando en el envío de campañas masivas por correo electrónico y WhatsApp. Monitorear y reportar el rendimiento de las campañas según sea necesario. Asistir en la repartición de leads diario a nivel Latam y carga de leads masivo post evento. Apoyar en la generación de orden de compra y cotizaciones de merchandising a nivel Latam.

Titulados de carreras de Comunicaciones, Publicidad, Ingeniero Comercial, marketing o afín. Experiencia como asistente de marketing. Desde 2 años de experiencia en áreas de marketing, performance o similares. Disponibilidad para trabajar en Santiago de Chile. Disponibilidad para realizar un reemplazo.

Nuestras oficinas en Chile están en Las Condes, Santiago (estación de metro Tobalaba). Somos una empresa en expansión a nivel LATAM! Tendrás la posibilidad de conocer otras culturas. Nuestro canal de slack crece cada día! Trabajamos con tenida informal, ¡olvídate del dress code! (Secreto shhh! somos team zapatillas). Nos encantan los cumpleaños! todos los meses tenemos celebraciones en la oficina."
Brand Assistant,Wbuild,Santiago,"Estamos buscando una persona altamente motivada y con experiencia para unirse a nuestro equipo en crecimiento. Debe ser una persona productiva, autónoma, sin miedo a ir por más y que le guste trabajar en equipo. El candidato ideal trabajará en estrecha colaboración con el gerente de marketing y otros líderes sénior para garantizar que se cumplan los objetivos estratégicos de la empresa. El Brand Manager desempeñará un papel fundamental en el posicionamiento de marca, estar alineado(a) con las tendencias más actuales de marketing, estrategia, creatividad y gestión de producción. Sus responsabilidades estarán enfocadas principalmente en dos ejes: El primero, awareness o consideración de marca: creando alianzas, producción de eventos, generando vocerías y contenido. El segundo, conversión, principalmente en el manejo comercial y la ejecución y gestión de estrategias para conseguir el mayor número de ventas (inversiones en la plataforma).

• Diseñar, ejecutar y supervisar estrategias de branding que alineen los valores de la marca con las expectativas del mercado y los clientes.• Desarrollar y asegurar la consistencia de la imagen de marca en todos los puntos de contacto.• Realizar investigaciones y análisis continuos para monitorear la percepción de la marca, satisfacción del cliente, basados en insight de datos y feedback.• Liderar el lanzamiento de nuevos productos, desde el concepto hasta la ejecución en el mercado.• Colaborar y coordinar con distintos equipos y áreas de desarrollo de productos para asegurar que las nuevas ofertas estén alineadas con la identidad de marca y las expectativas del cliente.• Administrar el presupuesto de área, asegurando un uso eficiente de los recursos y maximizando el retorno de la inversión en campañas de marca.• Desarrollar campañas de co-branding que potencien la presencia de la marca en el mercado y la conversión en ventas.• Innovar e implementar estrategias de comunicación que utilicen las últimas tendencias en prensa, medios digitales y sociales para aumentar la visibilidad y engagement de la marca.• Desarrollar instancias y producir eventos, tanto personales de la marca como de externos en donde seamos auspiciadores, preocupándose del stand, merchandising, presencia y experiencia de marca.

• Licenciatura en Comunicaciones, Publicidad, Marketing, Administración de Empresas, Ingeniería Comercial o áreas relacionadas.• Mínimo 2 a máximo 6 años de experiencia en gestión de marca, preferiblemente en sectores dinámicos como tecnología, bienes de consumo o startups.• Experiencia liderando equipos multifuncionales y colaborando con departamentos como ventas, diseño y desarrollo de productos.• Capacidad para realizar análisis de mercados y tendencias con el fin de identificar oportunidades de posicionamiento.• Dominio de herramientas de análisis de datos, automatización de marketing y CRM para medir el rendimiento de la marca.• Experiencia en SEO, SEM, redes sociales y marketing de contenidos.• Capacidad para desarrollar conceptos creativos que refuercen la identidad de la marca y resuenen con el público objetivo.• Comprensión de la experiencia del cliente (CX) y de la experiencia de diseño centrado en el usuario (UI) para mejorar el recorrido del cliente y asegurar que la marca se alinee con las necesidades y expectativas del cliente.

• Hacer algo significativo; Ser parte del futuro y de la empresa número 1 en la industria inmobiliaria con tecnología blockchain.• Grandes oportunidades de desarrollo profesional en una empresa en crecimiento.• Salario competitivo.• Horarios de trabajo flexible. Vestimenta Casual.• Trabajo formato híbrido.• Equipo en Buenos Aires, ARG y Santiago, CL.• Ser parte de una empresa de alto nivel de innovación fundada por un gran equipo de emprendedores."
Digital Marketing,Arcadi SpA,Santiago,"¿Te apasiona el mundo de las Startups, el marketing y tienes la capacidad de hablar frente a la cámara como si estuvieras charlando con tu mejor amig@? Entonces, ¡te estamos buscando! Somos una fintech en crecimiento, y necesitamos un(a) Especialista en Crecimiento que pueda atraer muchos seguidores y nuevos usuarios 🚀Quien trabajará directamente con los fundadores de Arcadi SpA; fintech chilena que actualmente procesa mensualmente 4 millones de USD e inició operaciones el 2019 como fintech.Ofrecemos adicional al sueldo fijo, un sueldo variable en función del crecimiento del volumen transaccional.Our Vision: Foster financial prosperity in LatAm Our Mision :Instant remittances, Access to loans, Inflation protectionOur Strategy :Blockchain, Crowdfunding & Networks based on communities.Bonus:Si crees que puedes conseguir que incluso los dueños de la competencia usen nuestra app, ¡definitivamente tenemos que hablar! 😅

Hablar frente a la cámara (El más importante): Comunicar ideas de manera clara, entretenida y auténtica, logrando una conexión genuina con la audiencia en cada video. 🎤📹Planificación de contenido creativo: Diseñar calendarios de contenido que mantengan a nuestra audiencia enganchada y con ganas de más. 🎨📅 Influencer Marketing: Identificar, contactar y colaborar con influencers para amplificar el alcance de nuestra marca y crear alianzas estratégicas. 🌟🤝Análisis de desempeño: Monitorear el impacto del contenido utilizando herramientas analíticas y ajustar la estrategia para mejorar los resultados continuamente. 📊📈Participar activamente en la creación de videos: Desde la grabación hasta las entrevistas, serás parte esencial del proceso creativo y de producción de contenido audiovisual. 🎥✨Estrategias de crecimiento: Proponer y ejecutar estrategias innovadoras para atraer nuevos seguidores y convertirlos en usuarios registrados de nuestra app web. 💡🚀Optimización constante: Refinar formatos, estilos y estrategias para maximizar la viralidad, el crecimiento y el impacto de nuestras publicaciones. 🎯📈

Excelente capacidad para comunicar ideas de manera clara y atractiva. Experto/a en redes sociales: Sabes cómo capturar la atención de las personas en un scroll infinito. 📱✨ Eres la maestra de la narrativa visual y verbal. 🎤💡 Cámara, luces, acción: Hablas frente a la cámara con la naturalidad de quien pide una pizza. 🍕🎥 ¡Carisma es tu segundo nombre! Personalidades vibrantes y auténticas. Tendencias a la velocidad de la luz: Estás un paso adelante de los trends y los memes; TikTok no tiene secretos para ti. 🚀📲 El Santo Grial de la viralidad: Sabes cómo hacer que los videos exploten en las redes, o al menos estás dispuesto/a a descubrirlo con nosotros. 🎯🔥 Creativo/a y entretenido/a: Tus ideas son tan frescas como un frappé en pleno verano. 🧊🍹

Habilidad para hablar en inglés (deseable). Storytelling o capacidades narrativas. Capacidad de improvisación: Fluidez para adaptarse a cualquier situación y crear contenido sobre la marcha sin perder autenticidad. 🎤⚡Conocimientos de edición de video: Manejo de herramientas como Adobe Premiere, Final Cut, CapCut, o similares. 🖥️✂️

Adicional al sueldo fijo el colaborador disfrutara de un sueldo variable en función del crecimiento del volumen transaccional de Arcadi SpA"
Ejecutivo de Cuentas Junior,MATCH · Agencia-consultora,Santiago,"Nos encanta diseñar y crear productos digitales, asesorando a cada cliente en sus decisiones de negocio. Para ello, contamos con servicios de investigación UX, diseño UI, desarrollo, branding y marketing digital 💻. Las metodologías y el trabajo en equipo son para nosotros los pilares fundamentales de cualquier proyecto, creemos que gracias a la participación activa conseguimos resultados extraordinarios, ya que cada opinión, experiencia y/o conocimiento es clave para retro-alimentar nuestro equipo y superarnos día a día 🚀 En Match, buscamos un Ejecutivo de Cuentas de Marketing proactivo y apasionado por las estrategias digitales. Si tienes experiencia en el manejo directo con clientes, conocimientos en herramientas de marketing digital y dominio de plataformas como Google Ads, ¡queremos conocerte!

Gestión de Cuentas: Administrar relaciones con clientes, actuando como su principal punto de contacto y asegurando su satisfacción continua. 🤝📞 Desarrollo de Estrategias: Colaborar en el desarrollo y ejecución de estrategias de marketing digital que alineen con los objetivos de los clientes. 🎯📊 Uso de Herramientas de Marketing Digital: Utilizar herramientas y plataformas como Google Ads, Facebook Ads, y otras herramientas de marketing digital para crear y gestionar campañas efectivas. 🛠️💻 Análisis de Resultados: Monitorear y analizar el rendimiento de las campañas, proporcionando informes detallados y recomendaciones para optimizar resultados. 📈📉 Coordinación de Proyectos: Trabajar estrechamente con los equipos internos para asegurar que las campañas se ejecuten según los plazos y estándares acordados. 🗂️🔄 Atención al Cliente: Brindar soporte y asesoramiento continuo a los clientes, resolviendo cualquier inquietud y asegurando una comunicación fluida. 💬🔧

Experiencia en el Rol: Mínimo 1 año de experiencia en un puesto similar, manejando cuentas y estrategias de marketing digital. 🕒 Conocimientos en Herramientas de Marketing Digital: Experiencia y conocimientos en plataformas como Google Ads, Facebook Ads y otras herramientas relevantes. 📊🛠️ Experiencia con Clientes: Experiencia directa en la gestión y relación con clientes, asegurando una comunicación efectiva y la satisfacción del cliente. 🤝📞 Habilidades Analíticas: Capacidad para analizar datos de campañas y proporcionar informes claros y detallados. 📈🔍 Comunicación Efectiva: Excelentes habilidades de comunicación escrita y verbal para interactuar con clientes y equipos internos. 🗣️✉️

Computadora proporcionada por la empresa. 💻 Día libre en tu cumpleaños. 🎉🎂 Modalidad híbrida de trabajo. 🏠🏢 Un ambiente laboral positivo y colaborativo. 🌟🤗 Oportunidad de crecimiento y desarrollo profesional. 🚀"
Líder de Célula & CRO (Conversion Rate Optimization),LFi,Santiago,"En LFI buscamos talento para ofrecer las mejores soluciones de tecnología y marketing de la región. Desarrollamos proyectos que construyen la presencia digital de nuestros clientes y que hacen la vida más fácil y mejor a sus usuarios. Queremos innovar, buscar nuevas tecnologías, ser un equipo diverso y combinar nuestros talentos.

El Líder de Célula & CRO será responsable de dirigir y motivar al equipo, asignar tareas, establecer plazos y asegurar que se cumplan los objetivos relacionados con la optimización de la tasa de conversión. Este rol implica un análisis profundo de datos, identificación de áreas de mejora en el embudo de conversión y la implementación de estrategias efectivas. Además, el líder debe comunicar los resultados a los stakeholders y colaborar con diferentes departamentos para alinear objetivos y estrategias.Responsabilidades Principales: Liderazgo y coordinación: Dirigir y motivar al equipo, fomentando un ambiente de trabajo colaborativo y eficiente. Asignar tareas y establecer plazos, asegurando que se cumplan los objetivos del equipo. Evaluar el rendimiento del equipo y proporcionar retroalimentación constructiva. Optimización de la conversión: Analizar datos y métricas clave para identificar áreas de mejora en el embudo de conversión. Desarrollar e implementar estrategias y tácticas para aumentar las tasas de conversión. Realizar pruebas A/B y otras metodologías de experimentación para optimizar el rendimiento. Toma de decisiones estratégicas: Definir la visión y dirección de la célula, alineando las metas del equipo con los objetivos generales de la empresa. Establecer prioridades y tomar decisiones basadas en datos y análisis rigurosos. Monitorizar el mercado y las tendencias de la industria para mantener la relevancia y competitividad de las estrategias. Comunicación con stakeholders: Reportar resultados y hallazgos a la gerencia y otros departamentos. Colaborar con otros equipos y departamentos para asegurar la alineación de objetivos y estrategias. Presentar informes y análisis detallados sobre el progreso y los resultados de las iniciativas de optimización.

Licenciatura en Marketing, Administración de Empresas o campo relacionado. Experiencia mínima de 3 años en roles relacionados con la optimización de la tasa de conversión y marketing digital. Experiencia en liderazgo y gestión de equipos de trabajo. Conocimiento profundo de CRO y métricas de Marketing Digital: Dominio de las mejores prácticas y herramientas de optimización de la tasa de conversión. Familiaridad con las métricas clave de marketing digital y su interpretación. Pensamiento estratégico y analítico Habilidades de comunicación y negociación Capacidad para tomar decisiones basadas en datos: Competencia en la toma de decisiones informadas por datos. Proactividad en la implementación de soluciones basadas en resultados analíticos.

Contratación según ley de Chile Día de cumpleaños off Desarrollo profesional ilimitado... ¡el cielo es el límite! Entrenamiento permanente Metodologías de trabajo colaborativas en un buen ambiente Respeto total Horario de jornada laboral: de lunes a viernes de 9 a 18:30hs. De lunes a jueves de manera presencial y los días viernes Home office."
Ejecutivo de Cuentas Marketing Digital,MATCH · Agencia-consultora,Santiago,"Nos encanta diseñar y crear productos digitales, asesorando a cada cliente en sus decisiones de negocio. Para ello, contamos con servicios de investigación UX, diseño UI, desarrollo, branding y marketing digital 💻. Las metodologías y el trabajo en equipo son para nosotros los pilares fundamentales de cualquier proyecto, creemos que gracias a la participación activa conseguimos resultados extraordinarios, ya que cada opinión, experiencia y/o conocimiento es clave para retro-alimentar nuestro equipo y superarnos día a día 🚀En Match, queremos incorporar un Ejecutivo de Cuentas Junior que sea proactivo y apasionado por el marketing. Si te entusiasma trabajar con clientes, gestionar proyectos y contribuir al éxito de campañas de marketing, ¡esta es tu oportunidad! 💼✨

Apoyar en la gestión y coordinación de cuentas de clientes, asegurando la entrega de servicios de marketing de alta calidad. 📈 Colaborar con el equipo de marketing para desarrollar y ejecutar estrategias y campañas efectivas. 🧠💡 Ser el punto de contacto principal para los clientes, gestionando sus expectativas y proporcionando actualizaciones regulares sobre el progreso de los proyectos. 📞🔍 Preparar informes y presentaciones para clientes, demostrando el valor y los resultados de las campañas. 📊📝 Asistir en la planificación y ejecución de campañas publicitarias, eventos y promociones. 🎯🎉 Realizar seguimiento y análisis de resultados para asegurar la optimización y el éxito de las estrategias implementadas. 📉🔧

Título universitario en Marketing, Publicidad, Administración de Empresas o área relacionada. 🎓 Experiencia previa en roles de atención al cliente, ventas o marketing de 2 años🏆 Excelentes habilidades de comunicación y capacidad para trabajar en equipo. 🗣️🤝 Habilidad para gestionar múltiples proyectos de manera eficiente y mantener una actitud proactiva. 📅💪 Conocimiento en herramientas de marketing y publicidad digital. 🌐 Orientación a resultados y habilidades organizativas. 🎯📋

Computadora proporcionada por la empresa. 💻 Día libre en tu cumpleaños. 🎉🎂 Modalidad híbrida de trabajo. 🏠🏢 Un ambiente laboral positivo y colaborativo. 🌟🤗 Oportunidad de crecimiento y desarrollo profesional. 🚀📈"
Web Designer,Sitekick,Remote,"At Sitekick, we’re a small team of three senior designers who collaborate daily to create branding, websites, and application-scale UI/UX for diverse clients. We’re focused on scaling up to take on bigger projects while maintaining our high standards for quality and user experience. As we grow, we’re looking for a talented web designer to join us in delivering exceptional design while balancing a healthy work-life dynamic.

As a web designer at Sitekick, you’ll be responsible for designing visually compelling, user-friendly websites for a wide range of clients. You’ll work closely with our senior designers, contributing to the creative direction and execution of each project. This includes wireframing, prototyping, and designing responsive websites that meet client needs and brand standards.Our team meets for a daily standup and communicates frequently through Slack. You’ll be expected to provide daily updates and deliverables, ensuring steady progress on client projects. Success in this role will be measured by the quality of your design work, as well as your ability to consistently deliver on time and maintain open communication with the team and clients.

We are looking for a web designer with at least 3 years of experience in the field. You must be highly proficient in Figma, with a solid understanding of frame organization, auto layout, components, and variables. Experience with design systems and creating efficient workflows in Figma is essential.You should be comfortable using Slack frequently for communication and tracking your tasks via Slack Kanban boards. Strong English skills are a must, as you’ll be communicating in real-time with our three English-speaking founders and contributing to daily team discussions.Portfolio Requirement: To be considered for this role, please submit a portfolio demonstrating your web design capabilities and any relevant UI/UX projects.

While not required, the following skills would be a big plus and could increase your chances of being hired (and potentially at a higher rate): Experience using Framer as a web development tool, with a history of building websites independently. Proficiency in Webflow for building websites. Strong UI/UX skills, especially in designing web-based software applications, particularly SaaS apps. Experience working closely with developers to translate design into functional requirements is highly valued. We highly value candidates with these additional skills and are willing to offer more competitive compensation for the right fit.

Joining Sitekick means becoming part of a friendly and supportive team that values not just the work we do but also the people who do it. Here are some of the benefits you’ll enjoy: Work-Life Balance: We believe in hard work but also the importance of personal time. As long as the work gets done, we’re flexible about when and how you do it. Vacation Flexibility: We offer generous and flexible vacation policies to help you relax and recharge when you need to. Path to Full-Time Employment: This role is designed to lead to a full-time position, with the potential for a comprehensive benefits package after a year, including health insurance and other perks. Competitive Salary: We offer a competitive salary and are willing to negotiate based on skills, especially for those with additional desirable skills. At Sitekick, we’re committed to creating an environment where you can thrive both professionally and personally."
Diseñador UX con Experiencia en Product Discovery,coderslab.io,Remote,"En CodersLab actualmente nos encontramos en el crecimiento de los equipos apuntando a un crecimiento global que nos permita posicionarnos con nuestros productos en más países de Latinoamérica, por lo que estamos en búsqueda de un DISEÑADOR UX quien deberá ser una persona orientada al cumplimiento de los objetivos planteados.Te sumarás a un equipo desafiante y ambicioso con ganas de renovar el mercado, por lo que tus propuestas serán de mucho valor para el negocio.Postula para este tremendo desafío!

Investigación de Usuarios: Realizar entrevistas, encuestas y grupos focales para entender las necesidades, comportamientos y problemas de los usuarios. Analizar datos cualitativos y cuantitativos para obtener insights sobre el usuario. Creación de Personas:Desarrollar arquetipos de usuarios basados en la investigación para representar diferentes segmentos del público objetivo. Mapas de Empatía y Viajes del Usuario:Crear mapas de empatía y recorridos de usuario para visualizar la experiencia del usuario y detectar áreas de oportunidad. Prototipado y Validación: Diseñar prototipos de baja y alta fidelidad para probar ideas y conceptos con usuarios reales. Realizar pruebas de usabilidad para recoger feedback y mejorar el diseño antes del desarrollo final. Colaboración Interdisciplinaria: Trabajar en conjunto con equipos de producto, desarrollo y marketing para alinear las necesidades del usuario con los objetivos del negocio. Facilitar talleres de co-creación para obtener ideas de diferentes partes interesadas. Iteración del Producto: Usar el feedback usuario para iterar y mejorar continuamente las características del producto. Monitorear y analizar el rendimiento del producto una vez lanzado para identificar áreas de mejora. Documentación y Reportes: Documentar las investigaciones y hallazgos de manera clara y concisa. Presentar las recomendaciones de diseño a las partes interesadas de manera efectiva.

ormación:Título en diseño gráfico, diseño de interacción, psicología, investigación de usuarios o un campo relacionado. Experiencia: Experiencia previa en diseño UX/UI, investigación de usuarios o roles similares. Conocimiento de metodologías de investigación y diseño centrado en el usuario (como Design Thinking). Habilidades Técnicas: Familiaridad con herramientas de diseño y prototipado como Sketch, Figma, Adobe XD o similar. Conocimiento en análisis de datos y uso de herramientas de analítica (Google Analytics, Hotjar, etc.). Habilidades Interpersonales: Excelentes habilidades de comunicación para presentar ideas y recibir feedback. Capacidad para colaborar en equipos interdisciplinarios y facilitar discusiones creativas. Pensamiento Crítico y Resolución de Problemas:Habilidad para identificar problemas complejos y desarrollar soluciones efectivas basadas en la investigación."
